ID,ItemKey,ValueType,LimitType,EqLimit,LL,UL,PassOrFail,measureValue,ExecuteName,case,Command,Timeout,UseResult,WaitmSec,Instrument,SetVolt,SetCurr,Channel,Item,Type,keyWord,spiltCount,splitLength
HSO_32_L,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,332,volt,DC,,,
SOC_HSO33_on,,string,partial,apipwm 1 1500 100,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apipwm 1 1500 100],10,,,,,,,,,,,
HSO_33_H,,float,both,,11,13,,,PowerRead,34970A,,,,,34970A_1,,,333,volt,DC,,,
SOC_HSO33_off,,string,partial,apipwm 1 1500 0,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apipwm 1 1500 0],10,,,,,,,,,,,
HSO_33_L,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,333,volt,DC,,,
HSO_34_L,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,334,volt,DC,,,
SOC_HSO34_on,,string,partial,Set pin high,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2607 2 1],10,,,,,,,,,,,
HSO_34_H,,float,both,,11,12.5,,,PowerRead,34970A,,,,,34970A_1,,,334,volt,DC,,,
SOC_HSO34_off,,string,partial,Set pin low,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[hs2607 2 0],10,,,,,,,,,,,
SOC_HSO35_on,,string,partial,apipwm 4 1500 100,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apipwm 4 1500 100],10,,,,,,,,,,,
HSO_35_H,,float,both,,11,13,,,PowerRead,34970A,,,,,34970A_1,,,335,volt,DC,,,
SOC_HSO35_off,,string,partial,apipwm 4 1500 0,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apipwm 4 1500 0],10,,,,,,,,,,,
HSO_35_L,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,335,volt,DC,,,
SOC_Nanti_theft_HIGH_on,,string,partial,apipwm 5 1500 100,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apipwm 5 1500 100],10,,,,,,,,,,,
HORNanti_theft_HIGH_H,,float,both,,4.5,5.5,,,PowerRead,34970A,,,,,34970A_1,,,339,volt,DC,,,
SOC_Nanti_theft_HIGH_off,,string,partial,apipwm 5 1500 0,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apipwm 5 1500 0],10,,,,,,,,,,,
HORNanti_theft_HIGH_L,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,339,volt,DC,,,
SOC_Nanti_theft_LOW_on,,string,partial,apipwm 8 1500 100,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apipwm 8 1500 100],10,,,,,,,,,,,
HORNanti_theft_LOW_H,,float,both,,4.5,5.5,,,PowerRead,34970A,,,,,34970A_1,,,340,volt,DC,,,
SOC_Nanti_theft_LOW_off,,string,partial,apipwm 8 1500 0,,,,,CommandTest,console,python .\src\lowsheen_lib\XCU\UART.py COM3 command:[apipwm 8 1500 0],10,,,,,,,,,,,
HORNanti_theft_LOW_L,,float,both,,0,0.5,,,PowerRead,34970A,,,,,34970A_1,,,340,volt,DC,,,
relay_adc01_clos,,string,equality,1,,,,,PowerSet,34970A,,,,,34970A_1,,,107,clos,,,,
ADC0,,string,both,,0.8,1,,,CommandTest,console,python .\src\lowsheen_lib\XCU\ADC.py COM3 command:[readadc 0],10,,,,,,,,,ADC_VOLT:,2,5
ADC1,,string,both,,0.8,1,,,CommandTest,console,python .\src\lowsheen_lib\XCU\ADC.py COM3 command:[readadc 1],10,,,,,,,,,ADC_VOLT:,2,5
relay_adc01_open,,string,equality,1,,,,,PowerSet,34970A,,,,,34970A_1,,,107,open,,,,
